,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
89,scranton,40,US,1562089970,57,41.41,-75.66,86.0,4.7
90,mnogovershinnyy,100,RU,1562090119,82,53.94,139.92,47.45,5.41
91,yerofey pavlovich,84,RU,1562090267,77,53.97,121.97,54.11,1.01
92,poya,29,NC,1562090267,73,-21.35,165.16,71.93,6.35
93,new norfolk,40,AU,1562090064,75,-42.78,147.06,44.6,6.93
94,black diamond,75,CA,1562090268,87,50.69,-114.23,53.01,6.93
95,kodiak,1,US,1562090071,22,39.95,-94.76,91.0,5.82
96,longyearbyen,75,NO,1562090020,75,78.22,15.63,46.4,18.34
97,provideniya,100,RU,1562090028,97,64.42,-173.23,43.67,3.62
98,bathsheba,25,BB,1562090088,77,13.22,-59.52,80.75,15.19
99,praia da vitoria,90,PT,1562090127,83,38.73,-27.07,73.99,9.95
100,mataura,100,NZ,1562090027,85,-46.19,168.86,46.99,1.01
101,georgetown,75,GY,1562090052,79,6.8,-58.16,87.8,18.34
102,songjianghe,41,CN,1562090268,97,42.18,127.48,53.03,3.85
103,nome,40,US,1562090121,88,30.04,-94.42,89.6,7.34
104,mahebourg,75,MU,1562090029,68,-20.41,57.7,71.6,8.05
105,sabang,100,PH,1562090110,96,13.8,121.11,72.29,2.28
106,arraial do cabo,40,BR,1562090087,74,-22.97,-42.02,78.8,5.82
107,ponta delgada,40,PT,1562090086,83,37.73,-25.67,71.6,16.11
108,rafai,58,CF,1562090269,96,4.95,23.92,69.59,2.21
109,geraldton,75,CA,1562090100,34,49.72,-86.95,78.8,5.82
110,williams lake,40,CA,1562090269,51,52.13,-122.14,60.8,9.17
111,cidreira,0,BR,1562090047,51,-30.17,-50.22,61.31,6.4
112,sfantu gheorghe,0,RO,1562090270,70,44.65,26.83,93.2,6.93
113,bluff,49,AU,1562090017,82,-23.58,149.07,58.07,4.61
114,altay,0,CN,1562090270,40,47.83,88.13,47.09,6.64
115,ewo,88,CG,1562090270,66,-0.88,14.81,80.03,9.57
116,alice springs,0,AU,1562090064,42,-23.7,133.88,48.2,5.82
117,billings,75,US,1562090270,63,45.79,-108.5,64.99,9.17
118,rio tercero,0,AR,1562090270,34,-32.17,-64.11,57.71,9.86
119,kendari,100,ID,1562090062,98,-3.99,122.52,71.03,2.13
120,bucerias,5,MX,1562090271,46,20.76,-105.33,89.6,8.05
121,coos bay,90,US,1562090188,82,43.37,-124.22,66.99,4.7
122,carnarvon,0,ZA,1562090046,47,-30.97,22.13,45.65,7.43
123,beya,100,RU,1562090271,92,53.05,90.92,54.83,4.07
124,esperance,75,AU,1562090094,66,-33.86,121.89,51.8,8.05
125,zyryanka,100,RU,1562090271,81,65.73,150.89,55.37,12.86
126,bredasdorp,97,ZA,1562090026,55,-34.53,20.04,64.99,19.46
127,gazanjyk,0,TM,1562090272,30,39.24,55.52,81.11,15.9
128,thompson,75,CA,1562090058,62,55.74,-97.86,57.2,12.75
129,taoudenni,47,ML,1562090092,5,22.68,-3.98,113.69,14.65
130,isangel,0,VU,1562090272,65,-19.55,169.27,73.01,5.64
131,kirakira,64,SB,1562090272,83,-10.46,161.92,77.33,9.91
132,okha,83,RU,1562090272,94,53.59,142.95,42.41,12.97
133,diffa,57,NE,1562090273,28,13.32,12.61,98.93,11.63
134,kaitangata,100,NZ,1562090060,80,-46.28,169.85,48.0,3.0
135,victoria,75,BN,1562090018,83,5.28,115.24,82.4,2.24
136,danville,1,US,1562090273,46,37.82,-122.0,77.0,8.05
137,muisne,75,EC,1562090123,78,0.61,-80.02,82.4,4.7
138,gerash,0,IR,1562090273,13,27.67,54.14,102.2,6.93
139,montlucon,98,FR,1562090273,44,46.33,2.6,81.0,1.01
140,zaozerne,0,UA,1562090119,67,51.37,23.94,65.45,8.16
141,mungaoli,81,IN,1562090274,43,24.41,78.09,91.55,11.32
142,alyangula,75,AU,1562090274,93,-13.85,136.42,59.0,1.12
143,torbay,40,CA,1562090057,83,47.66,-52.73,73.4,18.34
144,bethel,90,US,1562090033,100,60.79,-161.76,53.6,19.46
145,sibolga,88,ID,1562090274,73,1.74,98.78,82.73,3.31
146,san juan,19,AR,1562090117,8,-31.54,-68.53,57.17,2.71
147,santa cruz,11,BR,1562090004,43,-6.22,-36.02,86.33,11.68
148,guerrero negro,0,MX,1562090053,82,27.97,-114.04,67.61,10.4
149,oistins,54,BB,1562090275,77,13.07,-59.53,81.47,14.2
150,naryan-mar,100,RU,1562090275,91,67.67,53.09,61.67,9.06
151,panzhihua,61,CN,1562090275,84,26.59,101.72,67.97,1.25
152,qinhuangdao,45,CN,1562090275,68,39.94,119.59,63.65,1.01
153,valparaiso,40,US,1562090009,21,41.47,-87.06,93.0,10.29
154,cabo san lucas,5,MX,1562089876,65,22.89,-109.91,95.0,6.93
155,praia,0,BR,1562090054,36,-20.25,-43.81,80.6,3.36
156,flinders,40,AU,1562090028,75,-34.58,150.85,57.0,9.17
157,coahuayana,26,MX,1562090139,61,18.62,-100.35,87.59,2.15
158,upernavik,4,GL,1562090082,83,72.79,-56.15,41.15,6.89
159,margate,40,AU,1562090276,75,-43.03,147.26,44.6,6.93
160,saint-francois,0,FR,1562090276,35,46.42,3.91,84.2,8.05
161,nijar,20,ES,1562090276,78,36.97,-2.21,78.01,4.7
162,makakilo city,20,US,1562090277,78,21.35,-158.09,80.01,3.36
163,orkeny,0,HU,1562090277,47,47.13,19.43,86.0,10.29
164,central point,75,US,1562090277,45,42.38,-122.91,69.01,4.7
165,aasiaat,3,GL,1562090277,63,68.71,-52.87,42.77,13.2
166,dingle,100,PH,1562090052,86,11.0,122.67,74.45,1.63
167,grand gaube,75,MU,1562090278,68,-20.01,57.66,71.6,8.05
168,nyurba,0,RU,1562090278,67,63.29,118.35,43.85,5.59
169,axim,41,GH,1562090278,87,4.87,-2.24,78.41,9.91
170,souillac,100,FR,1562090026,47,45.6,-0.6,80.6,5.82
171,busselton,15,AU,1562090027,67,-33.64,115.35,46.0,10.63
172,ilulissat,40,GL,1562090063,28,69.22,-51.1,55.4,14.99
173,coihaique,40,CL,1562089861,97,-45.58,-72.07,46.4,2.24
174,faanui,97,PF,1562090058,80,-16.48,-151.75,77.87,31.29
175,matiri,0,UG,1562090278,59,0.58,30.76,65.09,1.36
176,birjand,0,IR,1562090104,32,32.86,59.22,80.6,16.11
177,divnomorskoye,0,RU,1562090279,70,44.5,38.13,72.83,9.24
178,saint-pierre,0,FR,1562090122,38,48.95,4.24,78.8,16.11
179,vao,75,EE,1562090120,79,59.1,26.19,58.61,9.06
180,saldanha,0,PT,1562090134,24,41.42,-6.55,87.77,5.91
181,saint george,0,GR,1562090074,42,39.45,22.34,87.8,8.05
182,san blas,5,MX,1562090279,54,21.54,-105.29,80.6,7.83
183,huntsville,1,US,1562089986,58,34.73,-86.59,93.99,4.7
184,kenai,20,US,1562090279,82,60.55,-151.26,62.01,3.36
185,igarka,59,RU,1562090280,50,67.47,86.57,62.03,7.05
186,fairbanks,75,US,1562090280,76,64.84,-147.72,60.01,3.36
187,carauari,93,BR,1562090090,75,-4.88,-66.9,80.57,3.47
188,raca,20,RS,1562090280,62,44.23,20.98,84.2,4.7
189,xining,94,CN,1562090280,87,36.62,101.77,48.35,1.34
190,ostrovnoy,83,RU,1562090027,72,68.05,39.51,54.83,11.34
191,evensk,100,RU,1562090044,97,61.92,159.24,47.45,6.26
192,tomatlan,0,MX,1562090281,59,19.93,-105.25,85.07,10.36
193,faya,20,SA,1562090281,50,18.39,42.45,78.8,5.77
194,nago,0,IT,1562090281,43,45.88,10.89,93.2,3.36
195,novyy urengoy,0,RU,1562090281,46,66.08,76.63,69.05,10.22
196,nador,0,MA,1562090281,44,35.17,-2.93,84.2,12.75
197,clarence town,13,AU,1562090282,100,-32.59,151.78,55.99,8.05
198,catuday,100,PH,1562090282,80,16.29,119.81,82.73,27.65
199,ixtapa,5,MX,1562090018,46,20.71,-105.21,89.6,8.05
200,nkwerre,91,NG,1562090282,89,5.75,7.12,77.87,6.58
201,zhigansk,93,RU,1562090124,73,66.77,123.37,46.55,22.93
202,chokurdakh,100,RU,1562090085,79,70.62,147.9,41.51,7.16
203,ponta do sol,12,BR,1562090027,37,-20.63,-46.0,77.69,3.6
204,hauterive,75,CA,1562090282,82,49.18,-68.27,64.4,5.82
205,khatanga,79,RU,1562090028,47,71.98,102.47,54.83,7.05
206,inhambane,20,MZ,1562090283,72,-23.87,35.38,68.0,2.24
207,losevo,0,RU,1562090283,40,51.73,38.83,73.4,13.42
208,lichinga,1,MZ,1562090283,63,-13.3,35.25,69.05,4.74
209,mayumba,84,GA,1562090102,87,-3.44,10.65,71.93,10.6
210,kalmunai,100,LK,1562090283,71,7.42,81.82,78.41,0.81
211,noumea,90,NC,1562090248,93,-22.28,166.46,64.4,10.22
212,clayton,40,US,1562090068,44,35.65,-78.46,97.0,3.36
213,dodge city,1,US,1562090275,51,37.75,-100.02,87.01,5.82
214,amuntai,99,ID,1562090067,87,-2.42,115.25,76.25,1.59
215,bilibino,54,RU,1562090284,84,68.06,166.44,46.01,1.1
216,lebu,75,ET,1562090049,77,8.96,38.73,62.6,4.7
217,kavaratti,97,IN,1562090021,77,10.57,72.64,83.81,16.69
218,bijie,91,CN,1562090284,91,27.3,105.3,60.77,2.1
219,trincomalee,98,LK,1562090284,71,8.58,81.23,81.11,9.8
220,silopi,0,IQ,1562090284,21,37.25,42.47,89.6,4.7
221,ayan,0,IR,1562090068,49,38.23,44.7,52.31,5.64
222,kinkala,5,CG,1562090285,69,-4.35,14.75,77.0,4.7
223,nara,92,JP,1562090285,88,34.68,135.8,73.99,2.24
224,machico,20,PT,1562090283,56,32.7,-16.77,73.4,12.75
225,chuy,98,UY,1562090285,64,-33.69,-53.46,56.09,13.67
226,clyde river,90,CA,1562090076,93,70.47,-68.59,35.6,24.16
227,chumikan,99,RU,1562090285,78,54.72,135.31,47.99,2.3
228,manokwari,81,ID,1562090059,84,-0.87,134.08,72.65,5.35
229,abilene,1,US,1562090286,55,32.45,-99.73,90.0,9.17
230,codrington,90,AU,1562090056,93,-28.95,153.24,55.99,3.04
231,puerto ayora,75,EC,1562090017,57,-0.74,-90.35,80.6,17.22
232,kommunisticheskiy,0,RU,1562090286,53,61.68,64.48,67.25,6.31
233,kinsale,75,IE,1562090287,72,51.71,-8.52,61.0,3.36
234,payo,40,ID,1562090287,97,-3.75,103.64,67.61,2.75
235,severo-kurilsk,100,RU,1562090065,95,50.68,156.12,42.23,6.67
236,nemuro,93,JP,1562090089,99,43.32,145.57,54.29,5.06
237,qaqortoq,40,GL,1562090274,100,60.72,-46.03,50.0,9.17
238,chifeng,18,CN,1562090287,45,42.27,118.96,63.83,6.55
239,tasiilaq,90,GL,1562090054,81,65.61,-37.64,42.8,38.03
240,wewak,82,PG,1562090287,90,-3.55,143.63,75.89,6.69
241,anadyr,40,RU,1562090107,87,64.73,177.51,44.6,6.71
242,hofn,49,IS,1562090118,78,64.25,-15.21,42.23,10.11
243,qasigiannguit,40,GL,1562090288,28,68.82,-51.19,55.4,14.99
244,lompoc,1,US,1562089793,68,34.64,-120.46,80.01,5.82
245,hamilton,90,CA,1562090253,69,43.26,-79.87,80.01,6.93
246,dunedin,100,NZ,1562090288,74,-45.87,170.5,53.21,12.17
247,rodrigues alves,75,BR,1562090288,59,-7.74,-72.65,89.6,4.7
248,vila velha,20,BR,1562090135,62,-3.71,-38.6,86.0,14.99
249,sioux lookout,75,CA,1562089924,64,50.1,-91.92,77.0,2.24
250,marion,75,US,1562090289,74,35.21,-90.2,91.0,6.93
251,salto,0,BR,1562090289,36,-23.2,-47.29,84.99,11.41
252,wasco,1,US,1562090289,16,35.59,-119.34,84.2,12.75
253,merauke,85,ID,1562090136,81,-8.49,140.4,75.71,18.61
254,bakchar,15,RU,1562090289,70,57.02,82.07,67.79,1.25
255,moron,31,HT,1562090290,77,18.56,-74.26,82.37,3.13
256,karratha,0,AU,1562090046,43,-20.74,116.85,63.83,2.26
257,auki,50,NG,1562090290,51,12.18,6.51,89.03,8.63
258,kralendijk,20,BQ,1562090290,62,12.15,-68.27,87.8,18.34
259,union,40,US,1562090290,40,34.72,-81.62,93.2,3.36
260,tuktoyaktuk,75,CA,1562090057,81,69.44,-133.03,48.2,13.87
261,fonte boa,65,BR,1562090291,78,-2.51,-66.09,80.93,5.95
262,deputatskiy,92,RU,1562090291,86,69.3,139.9,40.97,7.61
263,arlit,0,NE,1562090022,10,18.74,7.39,105.77,7.18
264,gizo,0,IL,1562090291,54,31.8,34.94,82.99,6.93
265,tura,37,RU,1562090277,59,64.27,100.22,55.73,4.76
266,shenkursk,99,RU,1562090291,92,62.11,42.91,54.11,3.27
267,havre-saint-pierre,90,CA,1562090292,72,50.23,-63.6,59.0,11.41
268,vermilion,75,CA,1562090292,67,53.35,-110.85,57.2,17.22
269,havelock,75,US,1562090292,49,34.88,-76.9,93.99,5.82
270,fort nelson,40,CA,1562090082,51,58.81,-122.69,60.8,6.93
271,yulara,0,AU,1562090292,37,-25.24,130.99,53.6,9.17
272,catia la mar,13,VE,1562090292,50,10.6,-67.03,80.01,11.77
273,dese,0,IT,1562090292,55,45.53,12.3,91.99,4.7
274,vetlanda,75,SE,1562090293,71,57.43,15.09,57.2,9.17
275,rurrenabaque,75,BO,1562090293,94,-14.44,-67.53,77.0,4.81
276,nuuk,75,GL,1562090081,66,64.17,-51.74,48.2,10.29
277,los llanos de aridane,40,ES,1562090109,69,28.66,-17.92,73.4,17.22
278,antalaha,86,MG,1562090125,91,-14.9,50.28,64.91,2.8
279,socorro,1,US,1562090215,21,31.65,-106.3,93.2,8.05
280,stokmarknes,20,NO,1562090293,54,68.56,14.91,53.6,5.82
281,san quintin,100,PH,1562090027,86,17.54,120.52,76.43,5.7
282,ambanja,0,MG,1562090294,60,-13.68,48.45,78.59,5.93
283,caravelas,40,BR,1562090048,82,-17.73,-39.27,77.15,9.42
284,baykit,100,RU,1562090294,80,61.68,96.39,66.53,7.85
285,lavrentiya,100,RU,1562090294,96,65.58,-170.99,43.13,4.81
286,takoradi,65,GH,1562090294,84,4.89,-1.75,78.41,7.49
287,andros,0,GR,1562090295,60,37.83,24.93,80.01,6.93
288,swellendam,91,ZA,1562090295,55,-34.02,20.44,64.4,19.46
289,anloga,20,GH,1562090295,78,5.79,0.9,82.4,17.22
290,kahului,20,US,1562089906,73,20.89,-156.47,78.01,16.75
291,ugoofaaru,100,MV,1562090047,72,5.67,73.0,83.63,8.97
292,jedrzejow,21,PL,1562090295,30,50.64,20.3,73.99,4.0
293,camopi,100,GF,1562090295,99,3.17,-52.33,71.93,2.1
294,buraydah,0,SA,1562090296,19,26.33,43.97,100.4,4.7
295,jalu,0,LY,1562090296,20,29.03,21.55,88.67,9.6
296,ures,0,MX,1562090296,30,30.73,-112.95,99.0,5.99
297,constitucion,5,MX,1562090019,31,23.99,-104.67,77.0,3.36
298,khandyga,99,RU,1562090296,90,62.65,135.58,47.99,5.19
299,darbhanga,1,IN,1562090296,61,26.16,85.9,89.57,19.06
300,iqaluit,20,CA,1562090018,57,63.75,-68.52,50.0,6.93
301,kaeo,96,NZ,1562090297,95,-35.1,173.78,61.0,5.01
302,aklavik,75,CA,1562090107,62,68.22,-135.01,57.2,9.17
303,roald,75,NO,1562090297,81,62.58,6.12,48.2,12.75
304,meulaboh,100,ID,1562090134,76,4.14,96.13,82.73,8.68
305,izumo,75,JP,1562090297,83,35.37,132.75,71.6,2.24
306,taltal,68,CL,1562090083,77,-25.41,-70.49,55.01,6.29
307,nipawin,90,CA,1562090297,71,53.36,-104.02,57.2,18.34
308,semirom,50,IR,1562090298,40,31.41,51.57,69.05,4.43
309,sitka,87,US,1562090052,61,37.17,-99.65,82.99,1.01
310,prince rupert,90,CA,1562090298,87,54.32,-130.32,57.2,4.7
311,mount gambier,23,AU,1562089785,76,-37.83,140.78,55.01,5.12
312,mustasaari,0,FI,1562090298,41,63.17,21.67,61.0,6.93
313,pisco,90,PE,1562090049,30,-13.71,-76.2,71.6,10.29
314,jimma,54,ET,1562090298,97,7.67,36.84,59.69,1.34
315,lamar,1,US,1562090299,51,38.09,-102.62,81.0,9.17
316,ketchikan,90,US,1562090299,87,55.34,-131.65,60.8,6.93
317,tocopilla,95,CL,1562090131,88,-22.09,-70.2,58.43,14.58
318,chibuto,0,MZ,1562090299,82,-24.69,33.53,62.03,3.38
319,ngunguru,48,NZ,1562090299,95,-35.62,174.5,61.0,5.01
320,nouadhibou,0,MR,1562090299,69,20.93,-17.03,73.4,20.8
321,kimbe,17,PG,1562090300,93,-5.56,150.15,70.31,3.09
322,lakselv,75,NO,1562090300,81,70.05,24.96,50.0,11.41
323,eureka,75,US,1562090101,72,40.8,-124.16,70.0,12.75
324,piacabucu,1,BR,1562090300,67,-10.41,-36.43,79.85,7.74
325,kavieng,2,PG,1562090024,78,-2.57,150.8,82.55,12.95
326,yumen,94,CN,1562090051,15,40.29,97.04,82.19,6.76
327,houma,52,CN,1562090301,36,35.63,111.36,79.49,1.57
328,buenavista,75,CO,1562090301,65,4.36,-75.74,84.2,3.36
329,alofi,49,NU,1562090025,69,-19.06,-169.92,75.2,12.75
330,toora-khem,21,RU,1562090301,86,52.47,96.11,46.37,1.81
331,progreso,0,UY,1562090301,71,-34.68,-56.22,55.0,14.99
332,pevek,71,RU,1562090075,94,69.7,170.27,35.39,11.59
333,lodja,40,CD,1562090301,33,-3.52,23.6,79.13,1.16
334,manggar,64,ID,1562090302,93,-2.88,108.27,75.35,2.89
335,lopatyn,45,UA,1562090302,79,50.22,24.84,65.45,7.43
336,ust-nera,94,RU,1562090102,91,64.57,143.24,47.09,5.17
337,najran,40,SA,1562090142,11,17.54,44.22,95.0,6.93
338,maniitsoq,3,GL,1562090302,77,65.42,-52.9,41.51,10.2
339,zalantun,81,CN,1562090302,82,48.0,122.72,57.89,3.62
340,rosarito,75,CO,1562090302,72,4.91,-75.23,84.2,5.82
341,deer lake,90,CA,1562090303,87,49.18,-57.43,48.2,14.99
342,seddon,75,AU,1562090303,81,-37.81,144.89,53.01,5.82
343,san policarpo,97,PH,1562090303,81,12.18,125.51,78.41,4.79
344,itarema,39,BR,1562090139,60,-2.92,-39.92,85.07,11.9
345,pangody,46,RU,1562090143,51,65.85,74.49,69.95,9.75
346,pitimbu,40,BR,1562090303,69,-7.47,-34.81,82.4,11.41
347,virginia beach,1,US,1562090139,45,36.85,-75.98,93.0,6.93
348,kudahuvadhoo,100,MV,1562090094,64,2.67,72.89,83.81,4.72
349,quatre cocos,75,MU,1562090061,68,-20.21,57.76,71.6,8.05
350,bara,99,NG,1562090304,66,10.41,10.6,83.81,6.17
351,sao filipe,71,CV,1562090073,81,14.9,-24.5,73.55,18.45
352,katherine,95,AU,1562090304,62,-14.47,132.26,59.0,5.82
353,umea,0,SE,1562090304,29,63.83,20.26,62.6,9.17
354,brae,17,GB,1562090085,66,60.4,-1.35,53.6,16.11
355,la ronge,75,CA,1562090304,62,55.1,-105.3,57.2,17.22
356,ahipara,96,NZ,1562090079,90,-35.17,173.16,60.95,15.14
357,gushikawa,75,JP,1562090305,88,26.35,127.87,82.4,16.11
358,camacha,20,PT,1562090134,60,33.08,-16.33,73.4,18.34
359,sechura,45,PE,1562090090,87,-5.56,-80.82,65.09,12.93
360,tarakan,100,ID,1562090170,86,3.3,117.63,76.25,2.71
361,mehamn,75,NO,1562090305,87,71.03,27.85,48.2,16.11
362,tecolutla,79,MX,1562090305,86,17.31,-98.74,66.89,0.74
363,kiunga,89,PG,1562090306,99,-6.12,141.3,69.59,1.99
364,caraguatay,90,PY,1562090306,93,-25.24,-56.83,60.8,4.7
365,imeni poliny osipenko,96,RU,1562090306,90,52.42,136.49,49.25,1.54
366,berezovyy,95,RU,1562090306,93,51.67,135.7,49.07,2.15
367,santa rosa,63,AR,1562090088,26,-36.62,-64.29,55.73,28.72
368,bilma,21,NE,1562090306,13,18.69,12.92,94.79,0.56
369,pandan,100,PH,1562090307,75,11.72,122.09,81.47,4.41
370,klaksvik,63,FO,1562090076,76,62.23,-6.59,50.0,12.75
371,nanortalik,100,GL,1562090097,97,60.14,-45.24,35.75,5.46
372,atikokan,12,CA,1562090307,31,48.76,-91.62,82.73,8.81
373,dawei,100,MM,1562090110,76,14.07,98.19,82.91,17.2
374,bambous virieux,75,MU,1562090019,68,-20.34,57.76,71.6,8.05
375,rojhan,0,PK,1562090307,20,28.69,69.95,98.39,6.69
376,dali,28,CN,1562090120,35,34.79,109.94,79.85,3.78
377,college,75,US,1562090308,76,64.86,-147.8,60.01,3.36
378,ambon,0,FR,1562090308,56,47.55,-2.56,79.0,12.75
379,funadhoo,95,MV,1562090308,72,6.15,73.27,83.63,9.44
380,dakar,0,SN,1562089507,70,14.69,-17.45,84.2,9.17
381,seoul,20,KR,1562090113,93,37.57,126.98,68.0,1.12
382,tiksi,100,RU,1562090020,94,71.64,128.87,35.57,12.33
383,nioro,43,GM,1562090060,36,13.79,-15.05,98.03,3.58
384,petropavlovsk-kamchatskiy,90,RU,1562090066,100,53.05,158.65,46.4,2.24
385,conway,75,US,1562090309,66,35.09,-92.44,89.01,9.17
386,shushary,40,RU,1562090309,72,59.81,30.38,64.4,4.47
387,russell,1,US,1562090309,58,38.9,-98.86,96.01,8.05
